"machine_id";"serial_number";"model";"capability";"no_of_modules";"software_version";"workstation";"ownership";"type_of_purchase"
1142;110012951;"GXXVI-8-D-10C";"10C";0;0.0;"Desktop";"";"MACARE-HBDC"
1143;110013709;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1144;110013745;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1145;110013748;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1146;110013752;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1147;110013753;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1148;110013773;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1149;110013856;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1150;110013917;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1151;110013918;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1152;110013925;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1153;110013958;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1154;110013959;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1155;110013960;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1156;110013962;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1157;110013963;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1158;110013965;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1159;110014085;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1160;110014099;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1161;110014171;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1162;110014186;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1163;110014996;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"Tie-up";"COMMERCIAL"
1164;110015481;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1165;110015482;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1166;110015487;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1167;110015767;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"Purchase";"COMMERCIAL"
1168;110016107;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1169;110016112;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1170;110016343;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1171;110016781;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"UNOPS"
1172;110016785;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1173;110016786;"GXIV-4-D-10C";"10C";4;6.4;"Desktop";"";"MACARE-HBDC"
1174;110016954;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1175;110016955;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1176;110016957;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1177;110016958;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1178;110016959;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1179;110017599;"GXIV-2-D-10C";"10C";2;0.0;"Desktop";"";"CONSORTIUM"
1180;110017869;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1181;110017870;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1182;110017894;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1183;110017942;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1184;110018008;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"CONSORTIUM"
1185;110018056;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1186;110018312;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"CONSORTIUM"
1187;110018556;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1188;110019479;"GXIV-4-L-10C";"10C";4;6.4;"Laptop";"";"ENANTA PHARMACEUTICALS"
1189;110019600;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1190;110019618;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1191;110019619;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1192;110019620;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1193;110019621;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1194;110019622;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1195;110019623;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1196;110019624;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1197;110019625;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1198;110019626;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1199;110019627;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1200;110020260;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1201;110020261;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1202;110020262;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1203;110020263;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1204;110020264;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1205;110020275;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1206;110020276;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1207;110020277;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1208;110020278;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1209;110020279;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1210;110020311;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1211;110020314;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1212;110020360;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1213;110020361;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1214;110020362;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1215;110020363;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1216;110020384;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1217;110020385;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1218;110020386;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1219;110020387;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1220;110020388;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1221;110020389;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1222;110020390;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1223;110020391;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1224;110020392;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1225;110020393;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1226;110020394;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1227;110020679;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1228;110020680;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1229;110020681;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1230;110020682;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"PBSP"
1231;110020683;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1232;110020684;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1233;110020685;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"PBSP"
1234;110020696;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1235;110020697;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"MACARE-HBDC"
1236;110020698;"GXIV-4-D-10C";"10C";4;6.5;"Desktop";"";"MACARE-HBDC"
1237;110020699;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1238;110020700;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"CONSORTIUM"
1239;110020743;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1240;110020745;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1241;110020777;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1242;110021518;"GXXVI-16-D-10C";"10C";16;0.0;"Desktop";"";"MACARE-HBDC"
1243;110021716;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
